category	reduction
Energy Neutralizer	0
Energy Neutralizer Drone	0
Energy Neutralizing Battery	0
Energy Nosferatu	0
Energy Weapon	0
Engineering Complex	0
Entosis Link	0
Entropic Radiation Sink	0
Exhumer	0
Exotic Plasma Charge	0
Expanded Cargohold	0
Expedition Frigate	0
Fighter Support Unit	0
Flag Cruiser	0
Flex Armor Hardener	0
Flex Armor Hardener Script	0
Flex Shield Hardener	0
Flex Shield Hardener Script	0
Force Auxiliary	0
Force Recon Ship	0
Freight Container	0
Freighter	0
Frequency Crystal	0
Frequency Mining Laser	0
Frigate	0
Fuel Block	0
Gang Coordinator	0
Gas Cloud Harvester	0
General	0
Gneiss	0
Guidance Disruption Script	0
Gyrostabilizer	0
Heat Sink	0
Heavy Assault Cruiser	0
Heavy Assault Missile	0
Heavy Fighter	0
Heavy Interdiction Cruiser	0
Heavy Missile	0
Hedbergite	0
Hemorphite	0
Hull Repair Unit	0
Hybrid Charge	0
Hybrid Tech Components	0
Hybrid Weapon	0
Ice	0
Industrial	0
Industrial Command Ship	0
Industrial Upgrades	0
Inertial Stabilizer	0
Information Command Burst Charges	0
Infrastructure Hub	0
Interceptor	4.2
Interdiction Probe	0
Interdiction Sphere Launcher	0
Interdictor	0
Jaspet	0
Jump Drive Economizer	0
Jump Freighter	0
Jump Portal Array	0
Jump Portal Generator	0
Kernite	0
Laboratory	0
Light Fighter	0
Light Missile	0
Livestock	0
Logistic Drone	0
Logistics	0
Logistics Frigate	0
Magnetic Field Stabilizer	0
Marauder	0
Mercoxit	0
Mercoxit Mining Crystal	0
Micro Jump Drive	0
Micro Jump Field Generators	0
Military Upgrades	0
Mine	0
Mining Barge	0
Mining Crystal	0
Mining Drone	0
Mining Foreman Burst Charges	0
Mining Laser	0
Mining Upgrade	0
Miscellaneous	0
Missile Guidance Computer	0
Missile Guidance Enhancer	0
Missile Guidance Script	0
Missile Launcher Bomb	0
Missile Launcher Cruise	0
Missile Launcher Defender	0
Missile Launcher Heavy	0
Missile Launcher Heavy Assault	0
Missile Launcher Light	0
Missile Launcher Rapid Heavy	0
Missile Launcher Rapid Light	0
Missile Launcher Rapid Torpedo	0
Missile Launcher Rocket	0
Missile Launcher Torpedo	0
Missile Launcher XL Cruise	0
Missile Launcher XL Torpedo	0
Mobile Cyno Inhibitor	0
Mobile Decoy Unit	0
Mobile Depot	0
Mobile Hybrid Sentry	0
Mobile Jump Disruptor	0
Mobile Laser Sentry	0
Mobile Micro Jump Unit	0
Mobile Missile Sentry	0
Mobile Projectile Sentry	0
Mobile Reactor	0
Mobile Scan Inhibitor	0
Mobile Siphon Unit	0
Mobile Tractor Unit	0
Mobile Vault	0
Mobile Warp Disruptor	0
Moon Mining	0
Nanite Repair Paste	0
Nanofiber Internal Structure	0
Navigation Structures	0
OLD Structure Resource Rig L - Ice Reprocessing	0
OLD Structure Resource Rig L - Ore Reprocessing	0
OLD Structure Resource Rig M - HS Ore Reprocessing	0
OLD Structure Resource Rig M - Ice 1 Reprocessing	0
OLD Structure Resource Rig M - Ice 2 Reprocessing	0
OLD Structure Resource Rig M - LNS Ore Reprocessing	0
OLD Structure Resource Rig XL - Reprocessing	0
Observatory Array	0
Offensive Systems	0
Omber	0
Orbital Construction Platform	0
Overdrive Injector System	0
Passive Targeting System	0
Personal Hangar	0
Plagioclase	0
Planet Satellites	0
Power Diagnostic System	0
Precursor Weapon	0
Projected ECCM	0
Projectile Ammo	0
Projectile Weapon	0
Propulsion Module	0
Propulsion Systems	0
Pyroxeres	0
QA Module	0
Reactor Control Unit	0
Refinery	0
Reinforced Bulkhead	0
Remote Armor Repairer	0
Remote Capacitor Transmitter	0
Remote Hull Repairer	0
Remote Sensor Booster	0
Remote Shield Booster	0
Remote Tracking Computer	0
Reprocessing Array	0
Rig Anchor	0
Rig Armor	0
Rig Core	0
Rig Drones	0
Rig Electronic Systems	0
Rig Energy Weapon	0
Rig Hybrid Weapon	0
Rig Launcher	0
Rig Mining	0
Rig Navigation	0
Rig Projectile Weapon	0
Rig Resource Processing	0
Rig Scanning	0
Rig Shield	0
Rig Targeting	0
Rocket	0
Salvage Drone	0
Salvager	0
Scan Probe Launcher	0
Scanner Probe	0
Scanning Upgrade	0
Scanning Upgrade Time	0
Scordite	0
Secure Cargo Container	0
Sensor Backup Array	0
Sensor Booster	0
Sensor Booster Script	0
Sensor Dampener	0
Sensor Dampener Script	0
Sensor Dampening Battery	0
Shield Boost Amplifier	0
Shield Booster	0
Shield Booster Script	0
Shield Command Burst Charges	0
Shield Extender	0
Shield Flux Coil	0
Shield Hardener	4.2
Shield Hardening Array	0
Shield Power Relay	0
Shield Recharger	0
Shield Resistance Amplifier	0
Ship Maintenance Array	0
Ship Scanner	0
Shuttle	0
Siege Module	0
Signal Amplifier	0
Signature Scrambling	0
Silo	0
Skirmish Command Burst Charges	0
Smart Bomb	0
Sovereignty Blockade Unit	0
Special Edition Commodities	0
Spodumain	0
Stasis Grappler	0
Stasis Web	0
Stasis Webification Battery	0
Stasis Webifying Drone	0
Station Components	0
Stealth Bomber	0
Strategic Cruiser	0
Strategic Upgrades	0
Strip Miner	0
Structure Administration Service Module	0
Structure Advertisement Service Module	0
Structure Anti-Capital Missile	0
Structure Anti-Subcapital Missile	0
Structure Area Denial Module	0
Structure Armor Reinforcer	0
Structure Assembly Rig L - Subsystem	0
Structure Biochemical Reactor Rig M - ME	0
Structure Biochemical Reactor Rig M - TE	0
Structure Burst Projector	0
Structure Capacitor Battery	0
Structure Capacitor Power Relay	0
Structure Citadel Rig L - Drone Hitpoints and Speed	0
Structure Citadel Rig M - Drone Hitpoints	0
Structure Citadel Rig M - Drone Speed	0
Structure Citadel Rig XL - Drone and PDB	0
Structure Citadel Service Module	0
Structure Combat Rig L - AoE Launcher Application and Projection	0
Structure Combat Rig L - EW Projection and Cap Reduction	0
Structure Combat Rig L - Energy Neutralizer Projection and Cap Reduction	0
Structure Combat Rig L - Max Targets and Sensor Boosting	0
Structure Combat Rig L - Missile Application and Projection	0
Structure Combat Rig L - Point Defense Battery Application and Projection	0
Structure Combat Rig M - Boosted Sensors	0
Structure Combat Rig M - EW Cap Reduction	0
Structure Combat Rig M - EW projection	0
Structure Combat Rig M - Energy Neutralizer Cap Reduction	0
Structure Combat Rig M - Energy Neutralizer Projection	0
Structure Combat Rig M - Max Targets	0
Structure Combat Rig M - Missile Application	0
Structure Combat Rig M - Missile Projection	0
Structure Combat Rig XL - Doomsday and Targeting	0
Structure Combat Rig XL - Energy Neutralizer and EW	0
Structure Combat Rig XL - Missile and AoE Missile	0
Structure Composite Reactor Rig M - ME	0
Structure Composite Reactor Rig M - TE	0
Structure Disruption Battery	0
Structure Doomsday Weapon	0
Structure Drilling Rig L - Proficiency	0
Structure Drilling Rig M - Efficiency	0
Structure Drilling Rig M - Stability	0
Structure ECM Battery	0
Structure ECM script	0
Structure Energy Neutralizer	0
Structure Engineering Rig L - Advanced Component Efficiency	0
Structure Engineering Rig L - Advanced Large Ship Efficiency	0
Structure Engineering Rig L - Advanced Medium Ship Efficiency	0
Structure Engineering Rig L - Advanced Small Ship Efficiency	0
Structure Engineering Rig L - Ammunition Efficiency	0
Structure Engineering Rig L - Basic Capital Component Efficiency	0
Structure Engineering Rig L - Basic Large Ship Efficiency	0
Structure Engineering Rig L - Basic Medium Ship Efficiency	0
Structure Engineering Rig L - Basic Small Ship Efficiency	0
Structure Engineering Rig L - Blueprint Copy Optimization	0
Structure Engineering Rig L - Capital Ship Efficiency	0
Structure Engineering Rig L - Drone and Fighter Efficiency	0
Structure Engineering Rig L - Equipment Efficiency	0
Structure Engineering Rig L - Invention Optimization	0
Structure Engineering Rig L - ME Research Optimization	0
Structure Engineering Rig L - Structure Efficiency	0
Structure Engineering Rig L - TE Research Optimization	0
Structure Engineering Rig M - Advanced Component ME	0
Structure Engineering Rig M - Advanced Component TE	0
Structure Engineering Rig M - Advanced Large Ship ME	0
Structure Engineering Rig M - Advanced Large Ship TE	0
Structure Engineering Rig M - Advanced Medium Ship ME	0
Structure Engineering Rig M - Advanced Medium Ship TE	0
Structure Engineering Rig M - Advanced Small Ship ME	0
Structure Engineering Rig M - Advanced Small Ship TE	0
Structure Engineering Rig M - Ammunition ME	0
Structure Engineering Rig M - Ammunition TE	0
Structure Engineering Rig M - Basic Capital Component ME	0
Structure Engineering Rig M - Basic Capital Component TE	0
Structure Engineering Rig M - Basic Large Ship ME	0
Structure Engineering Rig M - Basic Large Ship TE	0
Structure Engineering Rig M - Basic Medium Ship ME	0
Structure Engineering Rig M - Basic Medium Ship TE	0
Structure Engineering Rig M - Basic Small Ship ME	0
Structure Engineering Rig M - Basic Small Ship TE	0
Structure Engineering Rig M - Blueprint Copy Accelerator	0
Structure Engineering Rig M - Blueprint Copy Cost Optimization	0
Structure Engineering Rig M - Drone and Fighter ME	0
Structure Engineering Rig M - Drone and Fighter TE	0
Structure Engineering Rig M - Equipment ME	0
Structure Engineering Rig M - Equipment TE	0
Structure Engineering Rig M - Invention Accelerator	0
Structure Engineering Rig M - Invention Cost Optimization	0
Structure Engineering Rig M - ME Research Accelerator	0
Structure Engineering Rig M - ME Research Cost Optimization	0
Structure Engineering Rig M - Structure ME	0
Structure Engineering Rig M - Structure TE	0
Structure Engineering Rig M - TE Research Accelerator	0
Structure Engineering Rig M - TE Research Cost Optimization	0
Structure Engineering Rig XL - Equipment and Consumable Efficiency	0
Structure Engineering Rig XL - Laboratory Optimization	0
Structure Engineering Rig XL - Ship Efficiency	0
Structure Engineering Rig XL - Structure and Component Efficiency	0
Structure Engineering Service Module	0
Structure Fitting Module	0
Structure Guided Bomb	0
Structure Guided Bomb Launcher	0
Structure Hybrid Reactor Rig M - ME	0
Structure Hybrid Reactor Rig M - TE	0
Structure Laboratory Rig L - Capital Component	0
Structure Laboratory Rig L - Component	0
Structure Laboratory Rig L - Module, Consumable, Drone	0
Structure Laboratory Rig L - Ship	0
Structure Laboratory Rig L - Structure Component	0
Structure Laboratory Rig L - Subsystem	0
Structure Laboratory Rig M - Consumable	0
Structure Laboratory Rig M - Drone	0
Structure Laboratory Rig M - Large Ship	0
Structure Laboratory Rig M - Medium Ship	0
Structure Laboratory Rig M - Module	0
Structure Laboratory Rig M - Small Ship	0
Structure Laboratory Rig XL - Equipment	0
Structure Laboratory Rig XL - Ship	0
Structure Moon Drilling Service Module	0
Structure Multirole Missile Launcher	0
Structure Observatory Service Module	0
Structure Reactor Rig L - Efficiency	0
Structure Research Service Module	0
Structure Resistance Switcher Script	0
Structure Resource Processing Service Module	0
Structure Resource Rig L - Reprocessing	0
Structure Resource Rig M - Asteroid Ore Reprocessing	0
Structure Resource Rig M - Ice Reprocessing	0
Structure Resource Rig M - Moon Ore Reprocessing	0
Structure Resource Rig XL - Reprocessing	0
Structure Signal Amplifier	0
Structure Stargate Service Module	0
Structure Stasis Webifier	0
Structure Warp Disruptor Script	0
Structure Warp Scrambler	0
Structure Weapon Upgrade	0
Structure XL Missile Launcher	0
Super Weapon	0
Supercarrier	0
Support Fighter	0
Survey Probe	0
Survey Probe Launcher	0
Survey Scanner	0
System Scanner	0
Tactical Destroyer	0
Target Breaker	0
Target Painter	0
Territorial Claim Unit	0
Titan	0
Titan Phenomena Generator	0
Tool	0
Torpedo	0
Tracking Computer	0
Tracking Disruption Script	0
Tracking Enhancer	0
Tracking Script	0
Tractor Beam	0
UNKNOWN_TYPE_GROUP_34188	0
UNKNOWN_TYPE_GROUP_35875	0
UNKNOWN_TYPE_GROUP_35876	0
UNKNOWN_TYPE_GROUP_35879	0
UNKNOWN_TYPE_GROUP_35883	0
UNKNOWN_TYPE_GROUP_35884	0
UNKNOWN_TYPE_GROUP_35885	0
UNKNOWN_TYPE_GROUP_35887	0
UNKNOWN_TYPE_GROUP_35956	0
UNKNOWN_TYPE_GROUP_35964	0
UNKNOWN_TYPE_GROUP_37200	0
UNKNOWN_TYPE_GROUP_37201	0
UNKNOWN_TYPE_GROUP_37236	0
UNKNOWN_TYPE_GROUP_37237	0
UNKNOWN_TYPE_GROUP_37238	0
UNKNOWN_TYPE_GROUP_37239	0
UNKNOWN_TYPE_GROUP_37240	0
UNKNOWN_TYPE_GROUP_37241	0
UNKNOWN_TYPE_GROUP_37242	0
UNKNOWN_TYPE_GROUP_37243	0
UNKNOWN_TYPE_GROUP_37244	0
UNKNOWN_TYPE_GROUP_37245	0
UNKNOWN_TYPE_GROUP_37247	0
UNKNOWN_TYPE_GROUP_37262	0
UNKNOWN_TYPE_GROUP_37263	0
UNKNOWN_TYPE_GROUP_37264	0
UNKNOWN_TYPE_GROUP_37265	0
UNKNOWN_TYPE_GROUP_37266	0
UNKNOWN_TYPE_GROUP_37267	0
UNKNOWN_TYPE_GROUP_37276	0
UNKNOWN_TYPE_GROUP_37277	0
UNKNOWN_TYPE_GROUP_37278	0
UNKNOWN_TYPE_GROUP_37279	0
UNKNOWN_TYPE_GROUP_37286	0
UNKNOWN_TYPE_GROUP_37830	0
UNKNOWN_TYPE_GROUP_37831	0
UNNAMED_GROUP_2008	0
Unknown Components	0
Unpublished Structure Modules	0
Veldspar	0
Warp Accelerator	0
Warp Core Stabilizer	0
Warp Disrupt Field Generator	0
Warp Disruption Script	0
Warp Scrambler	0
Warp Scrambling Battery	0
Weapon Disruptor	0
XL Cruise Missile	0
XL Torpedo	0
Defensive Subsystem	0
Offensive Subsystem	0
Core Subsystem	0
Propulsion Subsystem	0
